make,model,year,price,mileage,fuel_type,transmission,location,safety_rating,mpg_city,mpg_highway,vin,description,features
Toyota,Camry,2022,28500,15000,Gasoline,Automatic,"San Francisco, CA",5,28,39,1HGBH41JXMN109186,"Excellent condition Toyota Camry with low mileage. Perfect for daily commuting with great fuel economy.","['Backup Camera', 'Bluetooth', 'Automatic Transmission', 'Keyless Entry']"
Honda,Accord,2021,26800,22000,Gasoline,Automatic,"Los Angeles, CA",5,30,38,1HGCV1F30JA123456,"Reliable Honda Accord with excellent safety ratings. Great for families and professionals alike.","['Backup Camera', 'Bluetooth', 'Navigation', 'Automatic Transmission']"
Toyota,Prius,2023,32000,8000,Hybrid,CVT,"Seattle, WA",4,57,56,JTDKARFU0J3123456,"Nearly new Toyota Prius hybrid with exceptional fuel economy. Perfect for eco-conscious drivers.","['Backup Camera', 'Bluetooth', 'Navigation', 'Keyless Entry', 'Premium Audio']"
Ford,F-150,2021,42000,35000,Gasoline,Automatic,"Austin, TX",4,20,26,1FTEW1E50KFA12345,"Dependable Ford F-150 pickup truck. Great for work and weekend adventures. Towing package included.","['Backup Camera', 'Bluetooth', 'All-Wheel Drive', 'Premium Audio']"
Honda,CR-V,2022,31500,18000,Gasoline,CVT,"Denver, CO",5,28,34,2HKRM4H77NH123456,"Versatile Honda CR-V SUV with AWD. Perfect for families who need space and reliability.","['Backup Camera', 'Bluetooth', 'All-Wheel Drive', 'Heated Seats', 'Keyless Entry']"
BMW,330i,2020,35000,28000,Gasoline,Automatic,"Miami, FL",4,26,36,WBA5R1C50LA123456,"Luxury BMW 3 Series sedan with sport package. Premium driving experience with advanced features.","['Navigation', 'Leather Seats', 'Sunroof', 'Premium Audio', 'Heated Seats']"
Chevrolet,Malibu,2021,22500,25000,Gasoline,Automatic,"Chicago, IL",4,29,36,1G1ZD5ST5LF123456,"Affordable Chevrolet Malibu with good fuel economy. Reliable transportation with modern features.","['Backup Camera', 'Bluetooth', 'Automatic Transmission', 'Keyless Entry']"
Subaru,Outback,2022,33000,12000,Gasoline,CVT,"Portland, OR",5,26,33,4S4BSANC8N3123456,"Adventure-ready Subaru Outback with standard AWD. Great for outdoor enthusiasts and families.","['Backup Camera', 'Bluetooth', 'All-Wheel Drive', 'Navigation', 'Heated Seats']"
Hyundai,Elantra,2023,24000,5000,Gasoline,CVT,"Phoenix, AZ",4,33,43,KMHL14JA5PA123456,"Nearly new Hyundai Elantra with excellent fuel economy and warranty coverage remaining.","['Backup Camera', 'Bluetooth', 'Automatic Transmission', 'Keyless Entry']"
Mazda,CX-5,2021,29000,20000,Gasoline,Automatic,"Atlanta, GA",4,25,31,JM3KFBCM3L0123456,"Stylish Mazda CX-5 SUV with premium interior. Great balance of performance and practicality.","['Backup Camera', 'Bluetooth', 'Navigation', 'Heated Seats', 'Premium Audio']"
Tesla,Model 3,2022,45000,12000,Electric,Automatic,"San Jose, CA",5,120,115,5YJ3E1EA6NF123456,"Tesla Model 3 electric sedan with autopilot features. Zero emissions and low operating costs.","['Navigation', 'Premium Audio', 'Keyless Entry', 'Backup Camera']"
Ford,Escape,2022,28000,16000,Gasoline,Automatic,"Dallas, TX",4,27,33,1FMCU9GD6NUA12345,"Compact Ford Escape SUV perfect for city driving. Good fuel economy and cargo space.","['Backup Camera', 'Bluetooth', 'Automatic Transmission', 'Keyless Entry']"
Nissan,Altima,2021,25500,19000,Gasoline,CVT,"Las Vegas, NV",4,28,39,1N4BL4BV5LN123456,"Comfortable Nissan Altima sedan with advanced safety features and good fuel economy.","['Backup Camera', 'Bluetooth', 'Navigation', 'Automatic Transmission']"
Jeep,Wrangler,2021,38000,22000,Gasoline,Manual,"Salt Lake City, UT",3,22,24,1C4HJXDG6LW123456,"Iconic Jeep Wrangler 4x4. Perfect for off-road adventures and outdoor lifestyle.","['All-Wheel Drive', 'Premium Audio', 'Bluetooth']"
Volkswagen,Jetta,2022,26000,14000,Gasoline,Automatic,"Boston, MA",4,30,40,3VW2B7AJ6NM123456,"European-engineered Volkswagen Jetta with premium feel and excellent highway fuel economy.","['Backup Camera', 'Bluetooth', 'Navigation', 'Heated Seats', 'Sunroof']"
Kia,Sorento,2021,32000,18000,Gasoline,Automatic,"Nashville, TN",4,24,32,5XYPGDA36MG123456,"Three-row Kia Sorento SUV perfect for larger families. Good value with comprehensive warranty.","['Backup Camera', 'Bluetooth', 'All-Wheel Drive', 'Navigation', 'Heated Seats']"
Audi,A4,2020,36000,26000,Gasoline,Automatic,"Charlotte, NC",4,27,34,WAUD8AF40LA123456,"Luxury Audi A4 sedan with quattro all-wheel drive. Premium interior and advanced technology.","['Navigation', 'Leather Seats', 'All-Wheel Drive', 'Sunroof', 'Premium Audio']"
Chevrolet,Equinox,2022,27500,13000,Gasoline,Automatic,"Orlando, FL",4,26,31,2GNAXSEV6N6123456,"Reliable Chevrolet Equinox SUV with modern features and good fuel economy for its class.","['Backup Camera', 'Bluetooth', 'Automatic Transmission', 'Keyless Entry']"
Toyota,RAV4,2023,35000,8000,Gasoline,CVT,"San Diego, CA",5,27,35,2T3F1RFV0PC123456,"Nearly new Toyota RAV4 with AWD. Excellent reliability and resale value. Perfect family SUV.","['Backup Camera', 'Bluetooth', 'All-Wheel Drive', 'Navigation', 'Keyless Entry']"
Honda,Civic,2022,25000,11000,Gasoline,CVT,"Minneapolis, MN",5,32,42,19XFC2F59NE123456,"Fuel-efficient Honda Civic with excellent build quality. Great for commuters and first-time buyers.","['Backup Camera', 'Bluetooth', 'Automatic Transmission', 'Keyless Entry']"
